date,brand,model,quantity_sold,current_stock,reorder_threshold,lead_time
2023-09-26,Vivo,Vivo V20,31,154,38,6
2021-02-17,OnePlus,OnePlus Nord,43,235,46,5
2023-02-25,OnePlus,OnePlus 9,37,194,39,8
2022-08-21,Google,Pixel 4a,30,247,43,11
2023-01-26,HP,Pavilion 15,50,212,16,14
2024-02-21,OnePlus,OnePlus 9,28,22,19,11
2024-07-04,Realme,Realme X7,26,254,48,10
2024-12-25,MSI,Stealth 15M,29,27,34,6
2024-05-31,MSI,GF65 Thin,9,381,49,12
2023-06-04,Realme,Realme 8,17,50,40,14
2021-02-10,MSI,Stealth 15M,33,366,40,7
2021-03-12,Oppo,Oppo F19,10,43,21,10
2024-03-05,Lenovo,Legion 5,11,244,26,13
2024-06-01,Samsung,Galaxy S21,12,454,17,11
2021-06-10,MSI,GF65 Thin,21,348,45,12
2021-05-11,OnePlus,OnePlus 9,36,57,42,12
2024-10-05,Samsung,Galaxy S20,16,20,47,7
2022-07-25,Google,Pixel 6,30,80,34,12
2024-12-01,Acer,Predator Helios,33,420,10,6
2024-04-02,Samsung,Galaxy S21,1,57,10,13
2023-10-01,Xiaomi,Mi 10,28,446,15,12
2023-11-02,HP,Spectre x360,45,52,50,8
2024-12-28,Apple,MacBook Pro 16,41,105,48,8
2022-01-25,MSI,GF65 Thin,46,118,37,9
2022-10-18,Samsung,Galaxy Note 10,12,223,31,9
2022-06-26,Dell,Latitude 7420,49,48,42,9
2022-11-19,Realme,Realme X7,22,126,28,3
2021-05-28,Lenovo,Legion 5,22,459,10,13
2024-05-22,MSI,GE76 Raider,43,290,26,6
2022-04-09,Acer,Predator Helios,37,258,11,6
2021-06-02,Vivo,Vivo Y51,28,265,21,3
2021-03-26,Dell,Latitude 7420,43,358,18,12
2023-09-08,HP,Pavilion 15,17,368,33,13
2022-08-15,HP,EliteBook 840,42,378,25,7
2024-01-06,Apple,iPhone 11,36,394,27,9
2024-02-29,MSI,Stealth 15M,26,140,19,10
2022-05-16,Vivo,Vivo V20,27,413,47,5
2022-05-16,Oppo,Oppo F19,24,191,34,6
2021-02-24,Samsung,Galaxy S21,45,253,27,14
2021-08-02,Apple,MacBook Pro 13,46,444,39,3
2022-03-31,Vivo,Vivo X50,27,90,29,12
2023-02-17,Oppo,Oppo A74,25,351,19,14
2023-07-22,Vivo,Vivo X50,45,144,20,13
2022-11-15,Asus,ZenBook 14,47,282,23,4
2024-06-17,Oppo,Oppo Reno 5,34,59,40,6
2023-09-29,Apple,MacBook Pro 13,48,404,27,4
2021-11-29,Oppo,Oppo A74,17,183,27,7
2024-01-04,Asus,ROG Zephyrus,15,68,20,6
2023-10-29,Xiaomi,Mi 11,45,432,25,10
2022-10-01,Apple,iPhone 11,13,457,48,3
2022-12-29,OnePlus,OnePlus Nord,41,115,41,3
2024-02-02,Apple,MacBook Pro 16,41,101,45,14
2022-06-21,MSI,GF65 Thin,36,465,19,6
2024-12-13,Realme,Realme X7,9,221,10,11
2024-08-28,Lenovo,Legion 5,36,285,31,3
2024-04-01,HP,EliteBook 840,46,214,19,9
2022-05-09,Apple,iPhone 12,26,302,15,13
2024-01-05,Dell,Latitude 7420,4,42,42,3
2024-05-07,Oppo,Oppo Reno 5,28,131,37,13
2021-10-03,Realme,Realme X7,22,133,47,11
2021-10-03,Asus,ZenBook 14,38,158,41,10
2022-06-07,Asus,ZenBook 14,37,233,28,10
2023-08-16,MSI,GF65 Thin,23,192,36,13
2022-08-30,OnePlus,OnePlus 9,30,396,24,13
2023-02-27,Realme,Realme X7,19,136,22,12
2023-10-22,MSI,GF65 Thin,48,341,34,7
2021-06-03,Oppo,Oppo Reno 5,48,64,22,4
2022-05-08,Apple,MacBook Air,18,66,28,12
2021-04-18,HP,Pavilion 15,14,102,44,14
2023-11-07,Dell,Latitude 7420,8,92,23,10
2022-09-09,Apple,MacBook Pro 16,16,333,41,6
2022-10-31,Dell,Latitude 7420,13,458,35,9
2023-05-23,Acer,Swift 3,44,418,38,11
2024-10-12,Apple,MacBook Air,36,213,44,8
2021-04-21,HP,Spectre x360,33,107,26,6
2021-01-24,Google,Pixel 6,43,386,21,8
2023-02-17,Asus,ZenBook 14,8,333,40,6
2024-10-06,MSI,Stealth 15M,31,195,30,10
2024-05-28,HP,Pavilion 15,24,173,35,13
2023-08-12,Realme,Realme 8,6,129,48,7
2024-10-09,Lenovo,Legion 5,50,25,13,11
2024-05-05,Acer,Predator Helios,21,302,48,3
2021-02-08,Google,Pixel 6,49,290,27,13
2021-05-18,HP,Pavilion 15,23,362,38,7
2024-03-18,Apple,MacBook Pro 16,45,492,37,12
2022-02-19,MSI,GF65 Thin,1,427,46,13
2024-09-15,Google,Pixel 5,3,351,10,12
2024-05-29,Apple,MacBook Pro 16,48,494,36,4
2023-06-30,Acer,Aspire 5,17,218,29,11
2022-11-15,Google,Pixel 6,17,486,34,13
2024-03-02,Asus,VivoBook 15,1,444,20,5
2024-01-20,Apple,MacBook Air,2,430,37,8
2023-02-20,Xiaomi,Mi 10,44,130,48,10
2022-07-11,Xiaomi,Mi 10,45,294,31,4
2023-04-28,Dell,XPS 13,13,308,15,10
2021-06-24,MSI,GF65 Thin,43,264,35,6
2024-09-11,OnePlus,OnePlus 8,15,88,46,11
2024-01-02,Apple,iPhone 11,16,487,39,9
2023-06-08,Vivo,Vivo X50,49,385,29,5
2023-12-16,Samsung,Galaxy Note 10,36,70,49,12
2021-01-27,Oppo,Oppo Reno 5,29,198,17,8
2021-02-21,Lenovo,Legion 5,22,444,13,8
2021-10-27,Lenovo,IdeaPad 3,32,432,29,13
2023-04-26,Oppo,Oppo F19,23,84,14,5
2023-08-30,Acer,Swift 3,46,325,11,8
2021-07-17,Realme,Realme 8,34,61,21,10
2024-07-10,Oppo,Oppo Reno 5,26,449,22,6
2023-08-28,Apple,MacBook Pro 13,23,373,46,14
2024-12-01,Samsung,Galaxy S20,25,457,46,14
2023-09-16,Apple,MacBook Pro 16,41,300,43,14
2023-11-27,Oppo,Oppo Reno 5,5,109,34,10
2024-06-17,Samsung,Galaxy S21,42,72,13,11
2023-09-21,HP,EliteBook 840,6,461,50,4
2024-08-28,Lenovo,IdeaPad 3,35,291,23,8
2023-03-18,Vivo,Vivo X50,21,134,29,8
2024-05-22,Vivo,Vivo X50,9,71,25,5
2021-07-19,HP,Pavilion 15,31,455,26,6
2023-11-20,Oppo,Oppo F19,8,157,18,6
2023-03-01,HP,EliteBook 840,16,240,42,4
2023-03-26,Vivo,Vivo V20,31,22,10,14
2021-07-08,Apple,iPhone 11,36,323,30,9
2021-07-08,MSI,Stealth 15M,32,106,15,4
2023-06-29,HP,Spectre x360,6,285,19,7
2022-05-19,Google,Pixel 4a,43,334,13,6
2023-10-02,HP,EliteBook 840,25,358,41,6
2022-12-01,Vivo,Vivo X50,9,242,28,10
2022-02-27,Oppo,Oppo F19,34,92,18,14
2024-02-08,Asus,ROG Zephyrus,15,356,42,9
2023-12-04,Google,Pixel 4a,20,413,18,9
2023-05-12,Vivo,Vivo Y51,22,359,26,4
2023-12-21,Realme,Realme 8,4,86,26,14
2024-02-17,Google,Pixel 4a,7,187,20,10
2021-10-27,Apple,MacBook Pro 16,12,204,48,9
2022-06-20,HP,Spectre x360,27,214,27,11
2023-11-10,Vivo,Vivo X50,49,417,24,14
2021-07-13,HP,Pavilion 15,6,87,41,9
2023-09-14,Apple,MacBook Pro 16,49,416,26,12
2021-08-10,MSI,GE76 Raider,21,68,25,5
2022-04-03,HP,Pavilion 15,47,116,39,11
2021-10-10,Realme,Realme X7,10,34,30,12
2024-04-30,Vivo,Vivo Y51,46,218,29,13
2022-05-22,Lenovo,ThinkPad X1,9,153,11,12
2023-09-23,Acer,Swift 3,48,231,16,4
2024-09-02,HP,Spectre x360,42,78,12,9
2023-02-24,Dell,Inspiron 15,29,377,12,12
2023-07-01,Vivo,Vivo X50,27,118,45,7
2023-10-14,Asus,ZenBook 14,47,447,10,12
2024-03-01,Google,Pixel 5,25,166,44,9
2021-11-21,Asus,ROG Zephyrus,47,380,49,5
2023-08-06,Apple,iPhone 11,33,490,43,11
2022-06-16,Xiaomi,Mi 10,17,358,48,7
2021-03-14,OnePlus,OnePlus 9,4,397,22,5
2021-11-13,Realme,Realme 7,8,468,19,14
2021-06-08,Google,Pixel 6,44,234,42,11
2022-02-24,Oppo,Oppo A74,50,289,20,11
2024-06-03,Apple,iPhone 13,49,362,11,11
2021-02-19,Apple,MacBook Air,48,368,15,12
2023-06-03,Xiaomi,Mi 11,3,232,36,12
2024-10-31,Lenovo,ThinkPad X1,25,488,25,9
2021-03-26,Asus,ZenBook 14,1,267,47,8
2022-08-21,Acer,Predator Helios,43,430,36,6
2021-06-20,Acer,Aspire 5,38,278,47,7
2024-09-27,OnePlus,OnePlus 9,12,358,32,10
2022-12-06,Oppo,Oppo F19,21,20,48,14
2024-08-02,Apple,MacBook Pro 16,16,83,34,3
2021-08-23,Lenovo,Legion 5,17,230,45,6
2021-05-27,HP,EliteBook 840,22,80,33,5
2022-02-13,Asus,ROG Zephyrus,2,456,46,10
2024-04-03,Acer,Swift 3,25,334,37,12
2021-07-08,Asus,VivoBook 15,42,185,21,8
2021-02-25,Asus,ZenBook 14,40,486,36,6
2021-10-27,MSI,Stealth 15M,4,489,22,5
2023-11-03,Samsung,Galaxy Note 10,18,438,23,14
2023-05-23,Google,Pixel 5,38,196,28,9
2021-07-01,Acer,Swift 3,19,182,48,5
2022-10-22,OnePlus,OnePlus Nord,4,314,23,6
2021-07-10,Xiaomi,Mi 11,24,61,17,10
2022-08-09,Oppo,Oppo F19,10,430,39,4
2022-11-02,MSI,GF65 Thin,10,472,47,8
2021-09-09,HP,EliteBook 840,5,427,25,3
2021-02-11,Google,Pixel 4a,33,300,31,9
2024-06-27,Asus,ZenBook 14,28,156,34,11
2024-01-19,Google,Pixel 5,19,370,48,10
2022-11-28,Lenovo,ThinkPad X1,26,32,16,11
2022-01-24,Oppo,Oppo A74,2,420,35,14
2021-06-11,Lenovo,ThinkPad X1,16,385,12,6
2021-06-10,Xiaomi,Redmi Note 9,43,499,33,14
2023-07-09,MSI,Stealth 15M,22,306,41,10
2022-02-06,MSI,Stealth 15M,2,155,41,9
2022-05-14,Lenovo,Legion 5,41,178,16,12
2022-01-26,HP,EliteBook 840,42,245,27,8
2021-02-26,HP,EliteBook 840,7,430,11,13
2023-01-31,Xiaomi,Mi 10,7,310,17,8
2022-07-16,HP,Pavilion 15,47,184,40,9
2021-07-20,Apple,MacBook Pro 16,49,249,15,4
2022-04-11,Xiaomi,Mi 11,15,82,44,13
2024-09-05,OnePlus,OnePlus Nord,47,303,31,7
2024-05-25,Apple,MacBook Pro 16,12,345,18,11
2024-05-25,Vivo,Vivo X50,15,184,37,14
2021-12-13,Asus,VivoBook 15,18,355,20,7
2022-07-28,Google,Pixel 6,20,495,19,13
2024-09-14,Google,Pixel 4a,29,490,10,4
2024-10-05,Asus,ROG Zephyrus,46,417,32,7
2021-01-11,Lenovo,IdeaPad 3,41,373,27,11
2021-10-12,Realme,Realme 8,24,250,27,3
2021-01-13,MSI,Stealth 15M,23,85,19,5
2024-08-21,MSI,Stealth 15M,39,391,36,9
2023-09-10,Samsung,Galaxy Note 10,13,410,19,3
2023-06-30,Lenovo,Legion 5,11,423,43,3
2023-03-18,Apple,MacBook Pro 13,20,321,36,4
2021-08-15,MSI,GF65 Thin,46,132,25,7
2024-07-15,Samsung,Galaxy S21,33,331,18,14
2024-03-22,Xiaomi,Redmi Note 9,29,276,33,5
2021-04-22,Vivo,Vivo X50,37,425,35,8
2021-08-03,MSI,GE76 Raider,33,103,37,11
2023-02-20,Dell,XPS 13,21,176,49,8
2024-04-11,Apple,MacBook Pro 13,21,344,41,7
2023-02-21,Realme,Realme 8,21,97,50,4
2021-01-08,Oppo,Oppo A74,38,123,50,10
2022-07-02,Dell,Inspiron 15,39,309,48,7
2024-07-29,Apple,iPhone 12,49,336,26,8
2022-11-28,Realme,Realme 7,46,248,30,9
2021-04-16,Lenovo,Legion 5,29,186,21,12
2023-01-25,HP,Pavilion 15,17,183,28,12
2021-05-11,Apple,iPhone 11,13,378,45,9
2023-11-29,Asus,ROG Zephyrus,2,445,36,4
2021-10-29,Vivo,Vivo Y51,27,101,19,9
2021-02-10,Apple,MacBook Pro 16,14,30,38,3
2024-02-28,Oppo,Oppo F19,29,25,49,5
2024-06-26,Dell,XPS 13,2,324,44,12
2022-07-04,Asus,ZenBook 14,36,205,20,13
2022-06-07,Dell,Inspiron 15,39,309,42,9
2023-09-25,Lenovo,Legion 5,40,466,25,12
2021-04-25,Acer,Swift 3,28,316,43,7
2023-03-20,Oppo,Oppo Reno 5,40,466,17,9
2021-04-03,Oppo,Oppo F19,50,398,10,13
2023-01-29,Lenovo,ThinkPad X1,10,440,23,11
2024-07-22,HP,Spectre x360,26,33,25,7
2022-12-23,Dell,Inspiron 15,18,380,36,10
2021-07-22,MSI,GF65 Thin,50,43,43,6
2022-03-17,Asus,ZenBook 14,28,446,25,7
2022-07-26,Oppo,Oppo Reno 5,38,443,30,11
